#{"t_start": 1779821085.2606428, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
470.0,2879,6378.845792
410.0,2779,6393.821244
180.0,3443,6412.097373
855.0,4159,6442.530645
370.0,4301,6465.659679
640.0,4955,6492.07263
575.0,4379,6515.555172
155.0,2353,6528.055611
270.0,3265,6545.485968
730.0,3983,6566.89675
615.0,4427,6590.651968
460.0,3675,6610.243926
260.0,2865,6625.388364
390.0,3399,6643.622196
370.0,4225,6666.166065
405.0,4465,6690.29694
360.0,4141,6712.59318
505.0,4527,6736.909783
490.0,3439,6755.305428
345.0,4001,6776.677037
350.0,5227,6804.913459
260.0,4553,6829.409244
650.0,5115,6856.849548
290.0,4081,6878.922684
180.0,3537,6897.853883
180.0,2203,6909.63808
170.0,3155,6926.532793
540.0,3663,6946.216539
755.0,6215,6979.82047
385.0,2979,7003.178746
545.0,4199,7025.806219
225.0,2861,7041.164539
350.0,3819,7061.789673
800.0,7507,7102.323178
850.0,4337,7125.657012
285.0,2921,7141.342592
195.0,2763,7156.08652
245.0,3521,7175.05704
150.0,2035,7186.001488
430.0,4217,7208.754448
425.0,2871,7224.039103
380.0,4121,7246.198032
530.0,4259,7269.195863
435.0,4213,7291.854977
470.0,3107,7308.51646
500.0,3049,7325.027414
315.0,3205,7342.190625
285.0,3315,7360.088943
450.0,3027,7376.392253
265.0,3223,7393.68883
330.0,3337,7411.622562
160.0,2477,7424.816561
225.0,4481,7449.028545
420.0,3927,7470.045849
575.0,5473,7499.521816
170.0,2871,7514.988979
400.0,2867,7530.488615
375.0,4145,7561.988145
430.0,4699,7587.378049
285.0,4667,7612.673244
635.0,4660,7637.956133
330.0,4123,7660.077831
425.0,4413,7683.925745
345.0,4108,7706.016986
210.0,4399,7729.962768
215.0,3103,7746.680375
695.0,3109,7763.358605
225.0,2405,7776.274095
475.0,4493,7800.505833
465.0,4993,7827.640421
260.0,2673,7842.008064
335.0,3237,7859.436281
800.0,5391,7888.696174
605.0,4479,7912.846278
640.0,4460,7937.175792
610.0,4957,7964.10541
500.0,3157,7981.263816
290.0,2761,7996.143133
690.0,4953,8022.962815
730.0,6593,8058.746374
640.0,3861,8079.586256
1045.0,7051,8127.039964
345.0,3061,8143.575394
200.0,3879,8164.517035
370.0,3621,8184.077634
840.0,6421,8218.859399
450.0,4329,8242.303835
215.0,3539,8261.492972
690.0,4875,8287.908305
605.0,4463,8312.048086
280.0,3199,8329.318918
525.0,4873,8355.87404
285.0,3927,8377.280277
605.0,5673,8408.246691
965.0,6619,8444.353167
515.0,3713,8464.6905
800.0,6135,8497.944425
415.0,4283,8521.233394
410.0,4543,8546.096941
290.0,4435,8570.144327
210.0,2327,8582.746176
385.0,4851,8609.173094
675.0,4309,8632.477499
580.0,3745,8663.117085
655.0,4547,8687.769798
580.0,5657,8718.497875
500.0,4723,8744.26206
655.0,5959,8776.783119
420.0,4153,8799.327896
745.0,5475,8829.081601
420.0,4391,8852.92522
360.0,5128,8880.879061
425.0,3975,8902.477559
395.0,4481,8926.980785
1005.0,5631,8957.751073
135.0,1713,8966.850334
285.0,3364,8985.218767
190.0,4871,9011.957293
755.0,5447,9041.620182
680.0,4323,9065.171657
305.0,3788,9085.842712
685.0,4417,9109.917052
345.0,3799,9130.507461
245.0,4413,9154.365615
545.0,5745,9185.557167
220.0,2471,9198.90933
475.0,3699,9223.072142
365.0,3049,9239.579308
935.0,6569,9275.365335
475.0,4291,9298.779677
590.0,5117,9326.820249
515.0,4551,9351.713995
420.0,4607,9376.736456
215.0,3413,9395.174397
80.0,1851,9405.195087
230.0,3099,9422.000554
390.0,3671,9441.879938
575.0,4863,9468.479162
475.0,5113,9496.432918
610.0,5573,9526.850022
355.0,3469,9545.734621
560.0,4847,9572.101912
495.0,4747,9597.808969
515.0,2821,9612.905177
120.0,2265,9625.207373
245.0,2439,9638.339665
395.0,3685,9658.394224
760.0,5013,9685.662513
465.0,4091,9707.958069
365.0,4615,9733.107598
585.0,5365,9772.450266
545.0,5505,9802.40354
780.0,5453,9831.855868
315.0,4345,9855.389059
410.0,2517,9868.848771
530.0,3295,9886.693049
660.0,5073,9914.174521
215.0,2287,9926.485422
445.0,4693,9951.973232
380.0,4133,9974.657727
175.0,3035,9991.106874
340.0,3343,10009.226687
205.0,3073,10026.007987
500.0,4551,10050.741779
920.0,8597,10097.860126
710.0,4821,10124.169134
275.0,2977,10140.146995
310.0,3031,10156.603396
545.0,4921,10183.263494
1155.0,5055,10210.833445
155.0,2383,10223.821274
